,Item Name,Date,Average Price,Total Trade Volume,High Price Trade Volume,Low Price Trade Volume,Average High Price,Average Low Price,,
100,Babydragon bones,2023-03-23 13:30,1093.521127,213,102,111,1130,1060,,
101,Babydragon bones,2023-03-23 13:35,1060,269,0,269,,1060,,
102,Babydragon bones,2023-03-23 13:40,1083.333333,3,1,2,1130,1060,,
103,Babydragon bones,2023-03-23 13:45,1060,179,0,179,,1060,,
104,Babydragon bones,2023-03-23 13:50,1061.514925,134,1,133,1130,1061,,
105,Babydragon bones,2023-03-23 13:55,998,635,3,632,998,998,,
106,Babydragon bones,2023-03-23 14:00,1042.255319,47,40,7,1050,998,,
107,Babydragon bones,2023-03-23 14:05,1016.4,250,82,168,1050,1000,,
108,Babydragon bones,2023-03-23 14:10,1050,1600,1600,0,1050,,,
109,Babydragon bones,2023-03-23 14:15,1050,200,200,0,1050,,,
110,Babydragon bones,2023-03-23 14:20,1050,600,600,0,1050,,,
111,Babydragon bones,2023-03-23 14:25,1000,168,0,168,,1000,,
112,Babydragon bones,2023-03-23 14:30,967.8571429,7,2,5,1000,955,,
113,Babydragon bones,2023-03-23 14:35,1000,26,26,0,1000,,,
114,Babydragon bones,2023-03-23 14:40,1020,4,0,4,,1020,,
115,Babydragon bones,2023-03-23 14:45,1028.163347,753,144,609,1050,1023,,
116,Babydragon bones,2023-03-23 14:50,1051,294,0,294,,1051,,
117,Babydragon bones,2023-03-23 14:55,1050,716,28,688,1050,1050,,
118,Babydragon bones,2023-03-23 15:00,955,2531,0,2531,,955,,
119,Babydragon bones,2023-03-23 15:05,803.9145129,4024,1400,2624,815,798,,
120,Babydragon bones,2023-03-23 15:10,1010,2,2,0,1010,,,
121,Babydragon bones,2023-03-23 15:15,1009,300,300,0,1009,,,
122,Babydragon bones,2023-03-23 15:20,1015,24,24,0,1015,,,
123,Babydragon bones,2023-03-23 15:25,1065.437975,395,393,2,1066,955,,
124,Babydragon bones,2023-03-23 15:30,1069.423559,399,397,2,1070,955,,
125,Babydragon bones,2023-03-23 15:35,1050,200,200,0,1050,,,
126,Babydragon bones,2023-03-23 15:40,1066.146207,725,557,168,1068,1060,,
127,Babydragon bones,2023-03-23 15:45,1069.090909,22,20,2,1070,1060,,
128,Babydragon bones,2023-03-23 15:50,1069.823183,509,500,9,1070,1060,,
129,Babydragon bones,2023-03-23 15:55,1060,570,0,570,,1060,,
130,Babydragon bones,2023-03-23 16:00,1069.596929,521,500,21,1070,1060,,
131,Babydragon bones,2023-03-23 16:05,1060,15,0,15,,1060,,
132,Babydragon bones,2023-03-23 16:10,1070,100,100,0,1070,,,
133,Babydragon bones,2023-03-23 16:15,1060,15,0,15,,1060,,
134,Babydragon bones,2023-03-23 16:20,1070,1624,1624,0,1070,,,
135,Babydragon bones,2023-03-23 16:25,1099,279,0,279,,1099,,
136,Babydragon bones,2023-03-23 16:30,1060,603,0,603,,1060,,
137,Babydragon bones,2023-03-23 16:35,1060,473,0,473,,1060,,
138,Babydragon bones,2023-03-23 16:40,1060.30131,229,1,228,1129,1060,,
139,Babydragon bones,2023-03-23 16:45,1060,1,0,1,,1060,,
140,Babydragon bones,2023-03-23 16:50,1064.928571,14,1,13,1129,1060,,
141,Babydragon bones,2023-03-23 16:55,1060,169,0,169,,1060,,
142,Babydragon bones,2023-03-23 17:00,1060.279352,247,1,246,1129,1060,,
143,Babydragon bones,2023-03-23 17:05,991.273743,358,302,56,998,955,,
144,Babydragon bones,2023-03-23 17:10,955,251,0,251,,955,,
145,Babydragon bones,2023-03-23 17:15,955,134,0,134,,955,,
146,Babydragon bones,2023-03-23 17:20,1037.945455,55,51,4,1037,1050,,
147,Babydragon bones,2023-03-23 17:25,1129,22,22,0,1129,,,
148,Babydragon bones,2023-03-23 17:30,872,924,0,924,,872,,
149,Babydragon bones,2023-03-23 17:35,759,222,0,222,,759,,
150,Babydragon bones,2023-03-23 17:40,857,11,11,0,857,,,
151,Babydragon bones,2023-03-23 17:45,858,33,0,33,,858,,
152,Babydragon bones,2023-03-23 17:50,897.1111111,9,8,1,902,858,,
153,Babydragon bones,2023-03-23 17:55,902,1,1,0,902,,,
154,Babydragon bones,2023-03-23 18:00,901,2,2,0,901,,,
155,Babydragon bones,2023-03-23 18:05,858,6,0,6,,858,,
156,Babydragon bones,2023-03-23 18:10,905.5200669,598,197,401,988,865,,
157,Babydragon bones,2023-03-23 18:15,1050,3,0,3,,1050,,
158,Babydragon bones,2023-03-23 18:20,1053,196,0,196,,1053,,
159,Babydragon bones,2023-03-23 18:25,1050,13,0,13,,1050,,
160,Babydragon bones,2023-03-23 18:30,1050,3,0,3,,1050,,
161,Babydragon bones,2023-03-23 18:35,1050,107,107,0,1050,,,
162,Babydragon bones,2023-03-23 18:40,1050,588,0,588,,1050,,
163,Babydragon bones,2023-03-23 18:45,1050,518,0,518,,1050,,
164,Babydragon bones,2023-03-23 18:50,1060,322,0,322,,1060,,
165,Babydragon bones,2023-03-23 18:55,1093.552239,335,281,54,1100,1060,,
166,Babydragon bones,2023-03-23 19:00,1060,934,0,934,,1060,,
167,Babydragon bones,2023-03-23 19:05,1060,171,0,171,,1060,,
168,Babydragon bones,2023-03-23 19:10,1060,76,0,76,,1060,,
169,Babydragon bones,2023-03-23 19:15,1129,110,110,0,1129,,,
170,Babydragon bones,2023-03-23 19:20,1102.534247,73,45,28,1129,1060,,
171,Babydragon bones,2023-03-23 19:25,1060,107,0,107,,1060,,
172,Babydragon bones,2023-03-23 19:30,1060,7,0,7,,1060,,
173,Babydragon bones,2023-03-23 19:35,1060,12,0,12,,1060,,
174,Babydragon bones,2023-03-23 19:40,1060,105,0,105,,1060,,
175,Babydragon bones,2023-03-23 19:45,1060,272,0,272,,1060,,
176,Babydragon bones,2023-03-23 19:50,1050,482,0,482,,1050,,
177,Babydragon bones,2023-03-23 19:55,1129,1,1,0,1129,,,
178,Babydragon bones,2023-03-23 20:00,1129,400,400,0,1129,,,
179,Babydragon bones,2023-03-23 20:05,1050,232,0,232,,1050,,
180,Babydragon bones,2023-03-23 20:10,1050,11,0,11,,1050,,
181,Babydragon bones,2023-03-23 20:15,1050,26,0,26,,1050,,
182,Babydragon bones,2023-03-23 20:20,1104,4,4,0,1104,,,
183,Babydragon bones,2023-03-23 20:25,1050,234,0,234,,1050,,
184,Babydragon bones,2023-03-23 20:30,1050.179431,457,82,375,1051,1050,,
185,Babydragon bones,2023-03-23 20:35,1050,15,0,15,,1050,,
186,Babydragon bones,2023-03-23 20:40,1050.448718,234,105,129,1051,1050,,
187,Babydragon bones,2023-03-23 20:45,1050,261,119,142,1050,1050,,
188,Babydragon bones,2023-03-23 20:50,1050,32,0,32,,1050,,
189,Babydragon bones,2023-03-23 20:55,1050,16,0,16,,1050,,
190,Babydragon bones,2023-03-23 21:00,1050,19,19,0,1050,,,
191,Babydragon bones,2023-03-23 21:05,1074.682146,1249,531,718,1104,1053,,
192,Babydragon bones,2023-03-23 21:10,1050,16,15,1,1050,1050,,
193,Babydragon bones,2023-03-23 21:15,1050,35,0,35,,1050,,
194,Babydragon bones,2023-03-23 21:20,1050,10,0,10,,1050,,
195,Babydragon bones,2023-03-23 21:25,1050.119734,451,1,450,1104,1050,,
196,Babydragon bones,2023-03-23 21:30,1050.130909,825,12,813,1059,1050,,
197,Babydragon bones,2023-03-23 21:35,1056.044444,90,32,58,1067,1050,,
198,Babydragon bones,2023-03-23 21:40,1050,2,0,2,,1050,,
199,Babydragon bones,2023-03-23 21:45,1050,140,122,18,1050,1050,,
200,Babydragon bones,2023-03-23 21:50,1050,507,0,507,,1050,,
201,Babydragon bones,2023-03-23 21:55,1050,425,3,422,1050,1050,,
202,Babydragon bones,2023-03-23 22:00,1088.215873,315,202,113,1104,1060,,
203,Babydragon bones,2023-03-23 22:05,1104,1000,1000,0,1104,,,
204,Babydragon bones,2023-03-23 22:10,1060,3,0,3,,1060,,
205,Babydragon bones,2023-03-23 22:15,1064.888889,9,1,8,1104,1060,,
206,Babydragon bones,2023-03-23 22:20,1060,6,0,6,,1060,,
207,Babydragon bones,2023-03-23 22:25,1060,942,0,942,,1060,,
208,Babydragon bones,2023-03-23 22:30,1062.315789,19,1,18,1104,1060,,
209,Babydragon bones,2023-03-23 22:35,1060,79,0,79,,1060,,
210,Babydragon bones,2023-03-23 22:40,1065.375,16,2,14,1103,1060,,
211,Babydragon bones,2023-03-23 22:45,1122.843866,269,245,24,1129,1060,,
212,Babydragon bones,2023-03-23 22:50,1060,100,0,100,,1060,,
213,Babydragon bones,2023-03-23 22:55,1060,12,0,12,,1060,,
214,Babydragon bones,2023-03-23 23:00,1060,42,0,42,,1060,,
215,Babydragon bones,2023-03-23 23:05,1060,122,0,122,,1060,,
216,Babydragon bones,2023-03-23 23:10,1058,372,0,372,,1058,,
217,Babydragon bones,2023-03-23 23:15,1050,96,96,0,1050,,,
218,Babydragon bones,2023-03-23 23:20,1050,57,0,57,,1050,,
219,Babydragon bones,2023-03-23 23:25,1082,62,0,62,,1082,,
220,Babydragon bones,2023-03-23 23:30,1082,394,0,394,,1082,,
221,Babydragon bones,2023-03-23 23:35,968.1676976,1455,428,1027,815,1032,,
222,Babydragon bones,2023-03-23 23:40,996.0784314,306,300,6,999,850,,
223,Babydragon bones,2023-03-23 23:45,1078,816,816,0,1078,,,
224,Babydragon bones,2023-03-23 23:50,1064,31,31,0,1064,,,
225,Babydragon bones,2023-03-23 23:55,1048.483615,1007,520,487,1048,1049,,
226,Babydragon bones,2023-03-24 0:00,1071,5,3,2,1085,1050,,
227,Babydragon bones,2023-03-24 0:05,1155,440,440,0,1155,,,
228,Babydragon bones,2023-03-24 0:10,1050,553,259,294,1050,1050,,
229,Babydragon bones,2023-03-24 0:15,1037.341646,401,119,282,1050,1032,,
230,Babydragon bones,2023-03-24 0:20,1005.162162,37,1,36,1155,1001,,
231,Babydragon bones,2023-03-24 0:25,997.619469,113,9,104,1155,984,,
232,Babydragon bones,2023-03-24 0:30,920,1509,0,1509,,920,,
233,Babydragon bones,2023-03-24 0:35,1110,2015,2015,0,1110,,,
234,Babydragon bones,2023-03-24 0:40,851,386,0,386,,851,,
235,Babydragon bones,2023-03-24 0:45,1058.28777,139,49,90,978,1102,,
236,Babydragon bones,2023-03-24 0:50,1111,600,600,0,1111,,,
237,Babydragon bones,2023-03-24 0:55,902,200,200,0,902,,,
238,Babydragon bones,2023-03-24 1:00,851,731,0,731,,851,,
239,Babydragon bones,2023-03-24 1:05,862.3333333,9,2,7,902,851,,
240,Babydragon bones,2023-03-24 1:10,902,2,2,0,902,,,
241,Babydragon bones,2023-03-24 1:15,964,211,211,0,964,,,
242,Babydragon bones,2023-03-24 1:20,1050,281,147,134,1050,1050,,
243,Babydragon bones,2023-03-24 1:25,1091,1000,1000,0,1091,,,
244,Babydragon bones,2023-03-24 1:30,851,622,0,622,,851,,
245,Babydragon bones,2023-03-24 1:35,851,48,0,48,,851,,
246,Babydragon bones,2023-03-24 1:40,971,11,11,0,971,,,
247,Babydragon bones,2023-03-24 1:45,856.8256881,218,10,208,978,851,,
248,Babydragon bones,2023-03-24 1:50,851,252,0,252,,851,,
249,Babydragon bones,2023-03-24 1:55,851,510,0,510,,851,,
250,Babydragon bones,2023-03-24 2:00,938.9621212,132,119,13,943,902,,
251,Babydragon bones,2023-03-24 2:05,897.1832151,846,103,743,949,890,,
252,Babydragon bones,2023-03-24 2:10,949,5,5,0,949,,,
253,Babydragon bones,2023-03-24 2:15,886.4285714,455,130,325,975,851,,
254,Babydragon bones,2023-03-24 2:20,998,2,2,0,998,,,
255,Babydragon bones,2023-03-24 2:25,807.92,25,1,24,998,800,,
256,Babydragon bones,2023-03-24 2:30,993.75,624,620,4,995,800,,
257,Babydragon bones,2023-03-24 2:35,800,42,0,42,,800,,
258,Babydragon bones,2023-03-24 2:40,932.8175896,307,207,100,925,949,,
259,Babydragon bones,2023-03-24 2:45,995,964,964,0,995,,,
260,Babydragon bones,2023-03-24 2:50,800,2,0,2,,800,,
261,Babydragon bones,2023-03-24 2:55,1017.509009,444,443,1,1018,800,,
262,Babydragon bones,2023-03-24 3:00,828.5,4,2,2,857,800,,
263,Babydragon bones,2023-03-24 3:05,808.7692308,13,2,11,857,800,,
264,Babydragon bones,2023-03-24 3:10,880,229,229,0,880,,,
265,Babydragon bones,2023-03-24 3:15,998,106,106,0,998,,,
266,Babydragon bones,2023-03-24 3:20,992,83,0,83,,992,,
267,Babydragon bones,2023-03-24 3:25,992,569,0,569,,992,,
268,Babydragon bones,2023-03-24 3:30,992,87,0,87,,992,,
269,Babydragon bones,2023-03-24 3:35,1019.404255,47,46,1,1020,992,,
270,Babydragon bones,2023-03-24 3:40,992,1,0,1,,992,,
271,Babydragon bones,2023-03-24 3:45,1008.60177,339,201,138,1020,992,,
272,Babydragon bones,2023-03-24 3:50,993.0769231,78,3,75,1020,992,,
273,Babydragon bones,2023-03-24 3:55,992,3,0,3,,992,,
274,Babydragon bones,2023-03-24 4:00,992.8256881,327,54,273,997,992,,
275,Babydragon bones,2023-03-24 4:05,992,30,0,30,,992,,
276,Babydragon bones,2023-03-24 4:10,994.734375,512,50,462,1020,992,,
277,Babydragon bones,2023-03-24 4:15,992.2583732,418,18,400,998,992,,
278,Babydragon bones,2023-03-24 4:20,1014.047244,127,100,27,1020,992,,
279,Babydragon bones,2023-03-24 4:25,992,95,0,95,,992,,
280,Babydragon bones,2023-03-24 4:30,992,191,0,191,,992,,
281,Babydragon bones,2023-03-24 4:35,991.745098,102,26,76,991,992,,
282,Babydragon bones,2023-03-24 4:40,949,60,0,60,,949,,
283,Babydragon bones,2023-03-24 4:45,997.02,100,98,2,998,949,,
284,Babydragon bones,2023-03-24 4:50,953.6329114,237,122,115,958,949,,
285,Babydragon bones,2023-03-24 4:55,1015.76087,368,168,200,975,1050,,
286,Babydragon bones,2023-03-24 5:00,994.483871,31,15,16,1043,949,,
287,Babydragon bones,2023-03-24 5:05,988,119,119,0,988,,,
288,Babydragon bones,2023-03-24 5:10,949.4582339,419,192,227,950,949,,
289,Babydragon bones,2023-03-24 5:15,949,20,9,11,949,949,,
290,Babydragon bones,2023-03-24 5:20,949,165,165,0,949,,,
291,Babydragon bones,2023-03-24 5:25,1036,29,29,0,1036,,,
292,Babydragon bones,2023-03-24 5:30,1000,75,75,0,1000,,,
293,Babydragon bones,2023-03-24 5:35,970,200,200,0,970,,,
294,Babydragon bones,2023-03-24 5:40,1018.953368,386,68,318,986,1026,,
295,Babydragon bones,2023-03-24 5:45,1050,273,0,273,,1050,,
296,Babydragon bones,2023-03-24 5:50,1050,614,0,614,,1050,,
297,Babydragon bones,2023-03-24 5:55,1050,196,0,196,,1050,,
298,Babydragon bones,2023-03-24 6:00,1050,551,9,542,1050,1050,,
299,Babydragon bones,2023-03-24 6:05,1050,2,1,1,1050,1050,,
300,Babydragon bones,2023-03-24 6:10,1050,50,0,50,,1050,,
301,Babydragon bones,2023-03-24 6:15,1050,444,0,444,,1050,,
302,Babydragon bones,2023-03-24 6:20,1050,580,0,580,,1050,,
303,Babydragon bones,2023-03-24 6:25,1050,843,12,831,1050,1050,,
304,Babydragon bones,2023-03-24 6:30,1050,196,22,174,1050,1050,,
305,Babydragon bones,2023-03-24 6:35,1050,74,18,56,1050,1050,,
306,Babydragon bones,2023-03-24 6:40,1050,334,135,199,1050,1050,,
307,Babydragon bones,2023-03-24 6:45,978.7058824,34,10,24,1050,949,,
308,Babydragon bones,2023-03-24 6:50,1079.354391,1298,1200,98,1090,949,,
309,Babydragon bones,2023-03-24 6:55,1088.22973,296,276,20,1091,1050,,
310,Babydragon bones,2023-03-24 7:00,1061.093458,321,264,57,1065,1043,,
311,Babydragon bones,2023-03-24 7:05,1050,4,0,4,,1050,,
312,Babydragon bones,2023-03-24 7:10,1050.645669,127,2,125,1091,1050,,
313,Babydragon bones,2023-03-24 7:15,1050,25,13,12,1050,1050,,
314,Babydragon bones,2023-03-24 7:20,1070,2,2,0,1070,,,
315,Babydragon bones,2023-03-24 7:25,1078.546562,1149,800,349,1091,1050,,
316,Babydragon bones,2023-03-24 7:30,1081.538462,26,20,6,1091,1050,,
317,Babydragon bones,2023-03-24 7:35,1063.284345,313,189,124,1072,1050,,
318,Babydragon bones,2023-03-24 7:40,1091,200,200,0,1091,,,
319,Babydragon bones,2023-03-24 7:45,1079.634078,358,357,1,1080,949,,
320,Babydragon bones,2023-03-24 7:50,991.244898,343,115,228,1075,949,,
321,Babydragon bones,2023-03-24 7:55,952.2798165,218,3,215,1044,951,,
322,Babydragon bones,2023-03-24 8:00,1066.748474,819,682,137,1090,951,,
323,Babydragon bones,2023-03-24 8:05,951,244,0,244,,951,,
324,Babydragon bones,2023-03-24 8:10,1011.144578,166,128,38,1029,951,,
325,Babydragon bones,2023-03-24 8:15,976.1090047,211,106,105,999,953,,
326,Babydragon bones,2023-03-24 8:20,1051,41,1,40,1091,1050,,
327,Babydragon bones,2023-03-24 8:25,963.4338624,378,100,278,998,951,,
328,Babydragon bones,2023-03-24 8:30,951.1649123,570,2,568,998,951,,
329,Babydragon bones,2023-03-24 8:35,957.2666667,15,2,13,998,951,,
330,Babydragon bones,2023-03-24 8:40,949,18,0,18,,949,,
331,Babydragon bones,2023-03-24 8:45,955.8173913,115,16,99,998,949,,
332,Babydragon bones,2023-03-24 8:50,953.3367003,1188,644,544,957,949,,
333,Babydragon bones,2023-03-24 8:55,998.5796545,2084,1106,978,1038,954,,
334,Babydragon bones,2023-03-24 9:00,1050,2,0,2,,1050,,
335,Babydragon bones,2023-03-24 9:05,1050,35,0,35,,1050,,
336,Babydragon bones,2023-03-24 9:10,1050,222,17,205,1050,1050,,
337,Babydragon bones,2023-03-24 9:15,1083.844424,1067,976,91,1087,1050,,
338,Babydragon bones,2023-03-24 9:20,1050,50,2,48,1050,1050,,
339,Babydragon bones,2023-03-24 9:25,995.3448276,87,51,36,961,1044,,
340,Babydragon bones,2023-03-24 9:30,1050,39,0,39,,1050,,
341,Babydragon bones,2023-03-24 9:35,1076.008811,908,576,332,1091,1050,,
342,Babydragon bones,2023-03-24 9:40,1061,156,156,0,1061,,,
343,Babydragon bones,2023-03-24 9:45,1054.555556,18,2,16,1091,1050,,
344,Babydragon bones,2023-03-24 9:50,1053.352941,34,2,32,1091,1051,,
345,Babydragon bones,2023-03-24 9:55,1051,14,0,14,,1051,,
346,Babydragon bones,2023-03-24 10:00,1051,60,0,60,,1051,,
347,Babydragon bones,2023-03-24 10:05,1071,4,2,2,1091,1051,,
348,Babydragon bones,2023-03-24 10:10,1050,123,0,123,,1050,,
349,Babydragon bones,2023-03-24 10:15,1050,19,0,19,,1050,,
350,Babydragon bones,2023-03-24 10:20,1050,162,0,162,,1050,,
351,Babydragon bones,2023-03-24 10:25,1090.065147,921,900,21,1091,1050,,
352,Babydragon bones,2023-03-24 10:30,1091,202,202,0,1091,,,
353,Babydragon bones,2023-03-24 10:35,1050,2,0,2,,1050,,
354,Babydragon bones,2023-03-24 10:40,1050,154,0,154,,1050,,
355,Babydragon bones,2023-03-24 10:45,1050,452,116,336,1050,1050,,
356,Babydragon bones,2023-03-24 10:50,1050,2,0,2,,1050,,
357,Babydragon bones,2023-03-24 10:55,1050,6,0,6,,1050,,
358,Babydragon bones,2023-03-24 11:00,1050,14,0,14,,1050,,
359,Babydragon bones,2023-03-24 11:05,1050,22,0,22,,1050,,
360,Babydragon bones,2023-03-24 11:10,1050,33,11,22,1050,1050,,
361,Babydragon bones,2023-03-24 11:15,1050,27,19,8,1050,1050,,
362,Babydragon bones,2023-03-24 11:20,1050,15,0,15,,1050,,
363,Babydragon bones,2023-03-24 11:25,984.6298343,362,348,14,982,1050,,
364,Babydragon bones,2023-03-24 11:30,949,2,1,1,949,949,,
365,Bat bones,2023-03-23 5:10,346,4,4,0,346,,,
366,Bat bones,2023-03-23 5:15,393,4,4,0,393,,,
367,Bat bones,2023-03-23 5:20,400.1428571,7,5,2,423,343,,
368,Bat bones,2023-03-23 5:25,423,2,2,0,423,,,
